competencia;dataBase;dataBase_google;salarioMinimo;salarioMinimo_google;salarioMinimoReferencia;salarioMinimoReferencia_google;tetoContribuicao;tetoContribuicao_google;tetoBeneficio;tetoBeneficio_google;integral;integral_google;proporcional;proporcional_google;multiplicadorMoeda;multiplicadorMoeda_google;ajusteMoeda;ajusteMoeda_google;indiceAtualizado;indiceAtualizado_google;indiceAcumulado;indiceAcumulado_google;indiceRes134;indiceRes134_google;indiceRes134Acumulado;indiceRes134Acumulado_google;indiceSalarios;indiceSalarios_google;indiceSalariosAcumulado;indiceSalariosAcumulado_google;ipca;ipca_google;ipcaE;ipcaE_google;indiceCondenatorias;indiceCondenatorias_google;indiceCondenatoriasAcumulado;indiceCondenatoriasAcumulado_google;selic;selic_google;juros;juros_google;jurosAltjurosAlt_google
196410;false;FALSE;42000.0;42000.00000000000000000000;null;-;210000.0;210000.00000000000000000000;210000.0;210000.00000000000000000000;0.00000000000000;-;0.00000000000000;-;1.0;1.00000000000000000000;1.0E-6;.00000100000000000000;1.00000000000000000000;1.00000000000000000000;0.01123947629431000000;.01123947530000000000;1.00000000000000000000;1.00000000000000000000;0.00562997371285000000;.00562080570000000000;1.00000000000000000000;1.00000000000000000000;8752.22702770986462000000;8752.22686037780000000000;null;-;null;-;1.00000000000000000000;1.00000000000000000000;0.00000804861063000000;.00000799350000000000;null;0.00%;1.00000000000000;1.0000%;
196411;false;FALSE;42000.0;42000.00000000000000000000;null;-;210000.0;210000.00000000000000000000;210000.0;210000.00000000000000000000;0.00000000000000;-;0.00000000000000;-;1.0;1.00000000000000000000;1.0E-6;.00000100000000000000;1.00000000000000000000;1.00000000000000000000;0.01123947629431000000;.01123947530000000000;1.00000000000000000000;1.00000000000000000000;0.00562997371285000000;.00562080570000000000;1.00000000000000000000;1.00000000000000000000;8752.22702770986462000000;8752.22686037780000000000;null;-;null;-;1.00000000000000000000;1.00000000000000000000;0.00000804861063000000;.00000799350000000000;null;0.00%;1.00000000000000;1.0000%;
196412;false;FALSE;42000.0;42000.00000000000000000000;null;-;210000.0;210000.00000000000000000000;210000.0;210000.00000000000000000000;0.00000000000000;-;0.00000000000000;-;1.0;1.00000000000000000000;1.0E-6;.00000100000000000000;1.13000000000000000000;1.13000000000000000000;0.01123947629431000000;.01123947530000000000;1.13000000000000000000;1.13000000000000000000;0.00562997371285000000;.00562080570000000000;1.13000000000000000000;1.13000000000000000000;8752.22702770986462000000;8752.22686037780000000000;null;-;null;-;1.13000000000000000000;1.13000000000000000000;0.00000804861063000000;.00000799350000000000;null;0.00%;1.00000000000000;1.0000%;
196501;false;FALSE;42000.0;42000.00000000000000000000;null;-;210000.0;210000.00000000000000000000;210000.0;210000.00000000000000000000;0.00000000000000;-;0.00000000000000;-;1.0;1.00000000000000000000;1.0E-6;.00000100000000000000;1.00000000000000000000;1.00000000000000000000;0.00994643919851000000;.00994643830000000000;1.00000000000000000000;1.00000000000000000000;0.00498227762199000000;.00497416430000000000;1.00000000000000000000;1.00000000000000000000;7745.33365284058816000000;7745.33350475910000000000;null;-;null;-;1.00000000000000000000;1.00000000000000000000;0.00000712266428000000;.00000707390000000000;null;0.00%;1.00000000000000;1.0000%;
196502;false;FALSE;42000.0;42000.00000000000000000000;null;-;210000.0;210000.00000000000000000000;210000.0;210000.00000000000000000000;0.00000000000000;-;0.00000000000000;-;1.0;1.00000000000000000000;1.0E-6;.00000100000000000000;1.00000000000000000000;1.00000000000000000000;0.00994643919851000000;.00994643830000000000;1.00000000000000000000;1.00000000000000000000;0.00498227762199000000;.00497416430000000000;1.00000000000000000000;1.00000000000000000000;7745.33365284058816000000;7745.33350475910000000000;null;-;null;-;1.00000000000000000000;1.00000000000000000000;0.00000712266428000000;.00000707390000000000;null;0.00%;1.00000000000000;1.0000%;
196503;false;FALSE;66000.0;66000.00000000000000000000;null;-;330000.0;330000.00000000000000000000;330000.0;330000.00000000000000000000;0.00000000000000;-;0.00000000000000;-;1.0;1.00000000000000000000;1.0E-6;.00000100000000000000;1.18584070800000000000;1.18584070800000000000;0.00994643919851000000;.00994643830000000000;1.18584070800000000000;1.18584070800000000000;0.00498227762199000000;.00497416430000000000;1.18584070800000000000;1.18584070800000000000;7745.33365284058816000000;7745.33350475910000000000;null;-;null;-;1.18584070800000000000;1.18584070800000000000;0.00000712266428000000;.00000707390000000000;null;0.00%;1.00000000000000;1.0000%;
196504;false;FALSE;66000.0;66000.00000000000000000000;null;-;330000.0;330000.00000000000000000000;330000.0;330000.00000000000000000000;0.00000000000000;-;0.00000000000000;-;1.0;1.00000000000000000000;1.0E-6;.00000100000000000000;1.00000000000000000000;1.00000000000000000000;0.00838766887610000000;.00838766820000000000;1.00000000000000000000;1.00000000000000000000;0.00420147291991000000;.00419463110000000000;1.00000000000000000000;1.00000000000000000000;6531.51270705119710000000;6531.51258237150000000000;null;-;null;-;1.00000000000000000000;1.00000000000000000000;0.00000600642584000000;.00000596530000000000;null;0.00%;1.00000000000000;1.0000%;
196505;false;FALSE;66000.0;66000.00000000000000000000;null;-;330000.0;330000.00000000000000000000;330000.0;330000.00000000000000000000;0.00000000000000;-;0.00000000000000;-;1.0;1.00000000000000000000;1.0E-6;.00000100000000000000;1.00000000000000000000;1.00000000000000000000;0.00838766887610000000;.00838766820000000000;1.00000000000000000000;1.00000000000000000000;0.00420147291991000000;.00419463110000000000;1.00000000000000000000;1.00000000000000000000;6531.51270705119710000000;6531.51258237150000000000;null;-;null;-;1.00000000000000000000;1.00000000000000000000;0.00000600642584000000;.00000596530000000000;null;0.00%;1.00000000000000;1.0000%;
196506;false;FALSE;66000.0;66000.00000000000000000000;null;-;330000.0;330000.00000000000000000000;330000.0;330000.00000000000000000000;0.00000000000000;-;0.00000000000000;-;1.0;1.00000000000000000000;1.0E-6;.00000100000000000000;1.13432835820000000000;1.13432835820000000000;0.00838766887610000000;.00838766820000000000;1.13432835820000000000;1.13432835820000000000;0.00420147291991000000;.00419463110000000000;1.13432835820000000000;1.13432835820000000000;6531.51270705119710000000;6531.51258237150000000000;null;-;null;-;1.13432835820000000000;1.13432835820000000000;0.00000600642584000000;.00000596530000000000;null;0.00%;1.00000000000000;1.0000%;
196507;false;FALSE;66000.0;66000.00000000000000000000;null;-;330000.0;330000.00000000000000000000;330000.0;330000.00000000000000000000;0.00000000000000;-;0.00000000000000;-;1.0;1.00000000000000000000;1.0E-6;.00000100000000000000;1.00000000000000000000;1.00000000000000000000;0.00739439229873000000;.00739439170000000000;1.00000000000000000000;1.00000000000000000000;0.00370393007416000000;.00369789850000000000;1.00000000000000000000;1.00000000000000000000;5758.04409705111884000000;5758.04398709070000000000;null;-;null;-;1.00000000000000000000;1.00000000000000000000;0.00000529513857000000;.00000525890000000000;null;0.00%;1.00000000000000;1.0000%;
